ID	Hierarchy
5051	Video
5151	Break/Fix
4709	Break/Fix > Error Codes
489	Break/Fix > Patch
5169	Break/Fix > General
5170	Break/Fix > Troubleshooting
5171	Break/Fix > Anomaly (NOT ON WEB)
5181	Break/Fix > Patch Roll-up
6272	Break/Fix > Publication Errata
5152	How-to/Question
2968	How-to/Question > Example Applications
5172	How-to/Question > Use a Product
5173	How-to/Question > Use a Product in a System
5174	How-to/Question > Obtain Diagnostic Data
5175	How-to/Question > Install/Configure Hardware/Software
5153	Product Notifications
490	Product Notifications > Product Safety Advisories
5176	Product Notifications > Product Notices
5177	Product Notifications > Business Unit Notifications (NOT ON WEB)
621	Product Notifications > Stop Orders
713	Product Notifications > Product Security
5154	Product Info
2969	Product Info > Standards and Certifications
2970	Product Info > Product Selection/Configuration
491	Product Info > Release Notes
492	Product Info > Lifecycle Information
5155	Internal Process
5163	Internal Process > TechSupport
5164	Internal Process > Customer Care
5165	Internal Process > Commercial Engineering
5166	Internal Process > Application Support
5168	Internal Process > Application Support > Contact Lists (NOT ON WEB)
5183	Internal Process > Application Support > General
5167	Internal Process > Advanced Networks/System Monitoring
5967	Internal Process > Answer Feedback
5971	Internal Process > Answer Feedback > Yes
5972	Internal Process > Answer Feedback > No
5156	Type of Content
5178	Type of Content > Summary Document
5179	Type of Content > Child Document (FUTURE USE)
5182	Type of Content > Parent Document (FUTURE USE)
5528	Type of Content > Stub
6335	Type of Content > MSS TechReview
6069	KDA
6070	KDA > TN Feedback
6071	KDA > Customer Feedback
6072	KDA > Engage
6073	KDA > CPD
6074	KDA > Search Gap Analysis
6075	KDA > Top n
6076	KDA > Ad hoc
6077	KDA > TN Recommendation (Flag)
6278	KDA > Lifecycle
6279	KDA > Other RA Dept.
6280	KDA > KCS Solve Loop
6461	KDA > Data Request
6456	KDA > Data Request > Data Req. - Report
6457	KDA > Data Request > Data Req. - Cron Job
6458	KDA > Data Request > Data Req. - Break/Fix
6459	KDA > Data Request > Data Req. - Enhancement Request
6460	KDA > Data Request > Data Req. - Other
6273	KCS
6274	KCS > KCS Concept
6275	KCS > KCS Question
6276	KCS > KCS Process / Tools
6277	KCS > KDA Process / Tools
7	General					
