ID	Hierarchy
1440	Activations
204	Activations > FactoryTalk Activation
6485	Activations > FactoryTalk Activation > CC Activations Transfer
6032	Activations > FactoryTalk Updater
338	Activations > Master Disk Copy Protection
5541	Automation Control
6486	Automation Control > CC Automation Control Transfer
6487	Automation Control > CC Automation Control Transfer > CC Automation Control Transfer
5554	Automation Control > Communications Software
101	Automation Control > Communications Software > FactoryTalk Linx / RSLinx Enterprise
5040	Automation Control > Communications Software > FactoryTalk Network Manager
102	Automation Control > Communications Software > RSNetWorx
1443	Automation Control > Computers and Operator Interfaces
647	Automation Control > Computers and Operator Interfaces > FactoryTalk View ME
5556	Automation Control > Computers and Operator Interfaces > FactoryTalk View ME ViewPoint
27	Automation Control > Computers and Operator Interfaces > Graphic Terminals
194	Automation Control > Computers and Operator Interfaces > Graphic Terminals > DataLiner
195	Automation Control > Computers and Operator Interfaces > Graphic Terminals > DTAM
197	Automation Control > Computers and Operator Interfaces > Graphic Terminals > Message Display
4400	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView 5000
4835	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView 5000 > PanelView 5310
4836	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView 5000 > PanelView 5500
4837	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView 5000 > PanelView 5510
4380	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView 800
2273	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView Classic
623	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView Component
2274	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView Enhanced
5555	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView Plus
1700	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView Plus > PanelView Plus 6
4471	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView Plus > PanelView Plus 6 > 2711P PanelView Plus 6 400-1500
4472	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView Plus > PanelView Plus 6 > 2711P PanelView Plus 6 Logic Modules
4473	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView Plus > PanelView Plus 6 Compact
4015	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView Plus > PanelView Plus 7
4470	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView Plus > PanelView Plus 7 > 2711P PanelView Plus 7 Performance
6315	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView Plus > PanelView Plus 7 > 2711P PanelView Plus 7 Performance Series B/C
6310	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView Plus > PanelView Plus 7 > 2711P PanelView Plus 7 Series D
4469	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView Plus > PanelView Plus 7 > 2711P PanelView Plus 7 Standard
1701	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView Plus pre-V6
3028	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView Plus pre-V6 > Communication Interfaces
3005	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView Plus pre-V6 > PanelView Plus CE
3029	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView Plus pre-V6 > Power Supplies
199	Automation Control > Computers and Operator Interfaces > Graphic Terminals > PanelView Standard
201	Automation Control > Computers and Operator Interfaces > Graphic Terminals > Redi-Panel
3021	Automation Control > Computers and Operator Interfaces > Industrial Environment Computers
6375	Automation Control > Computers and Operator Interfaces > Industrial Environment Computers > 1756-CMEE1Y1
4464	Automation Control > Computers and Operator Interfaces > Industrial Environment Computers > 6155 Compact Computers
4465	Automation Control > Computers and Operator Interfaces > Industrial Environment Computers > 6177 Standard Computers
4468	Automation Control > Computers and Operator Interfaces > Industrial Environment Computers > 6177 Standard Computers > 1450R Non-Display Computers
4466	Automation Control > Computers and Operator Interfaces > Industrial Environment Computers > 6177 Standard Computers > 650R Non-Display Computers
4467	Automation Control > Computers and Operator Interfaces > Industrial Environment Computers > 6177 Standard Computers > 750R Non-Display Computers
4462	Automation Control > Computers and Operator Interfaces > Industrial Environment Computers > 6180 Computers with Keypad
4463	Automation Control > Computers and Operator Interfaces > Industrial Environment Computers > 6181 Computers
5869	Automation Control > Computers and Operator Interfaces > Industrial Environment Computers > 6300B Box PC
5870	Automation Control > Computers and Operator Interfaces > Industrial Environment Computers > 6300P Panel PC
3020	Automation Control > Computers and Operator Interfaces > Industrial Environment Computers > Extreme Environment Computers
3024	Automation Control > Computers and Operator Interfaces > Industrial Environment Computers > Extreme Environment Computers > 6181X Hazardous Integrated Display
3025	Automation Control > Computers and Operator Interfaces > Industrial Environment Computers > Extreme Environment Computers > 6181X Hazardous Non-Display
4363	Automation Control > Computers and Operator Interfaces > Industrial Environment Computers > Extreme Environment Computers > Legacy
4362	Automation Control > Computers and Operator Interfaces > Industrial Environment Computers > Legacy
4830	Automation Control > Computers and Operator Interfaces > Industrial Environment Computers > VersaView 5400 Computers
3023	Automation Control > Computers and Operator Interfaces > Industrial Monitors
3030	Automation Control > Computers and Operator Interfaces > Industrial Monitors > 6176M Standard Monitor
3031	Automation Control > Computers and Operator Interfaces > Industrial Monitors > 6186M Performance Monitor
4831	Automation Control > Computers and Operator Interfaces > Industrial Monitors > VersaView 5100
5871	Automation Control > Computers and Operator Interfaces > Industrial Monitors > VersaView 6300M
4390	Automation Control > Computers and Operator Interfaces > MobileView Tethered Operator Terminals
4461	Automation Control > Computers and Operator Interfaces > MobileView Tethered Operator Terminals > 2711T MobileView Accessories
4460	Automation Control > Computers and Operator Interfaces > MobileView Tethered Operator Terminals > 2711T MobileView Tethered
6451	Automation Control > Computers and Operator Interfaces > Optix Edge
6205	Automation Control > Computers and Operator Interfaces > OptixPanel
4832	Automation Control > Computers and Operator Interfaces > Thin Clients
5868	Automation Control > Computers and Operator Interfaces > Thin Clients > 6300T Box Thin Client
4833	Automation Control > Computers and Operator Interfaces > Thin Clients > VersaView 5200 Thin Client
1426	Automation Control > Condition Monitoring
585	Automation Control > Condition Monitoring > Emonitor (formerly Odyssey/Enshare)
3044	Automation Control > Condition Monitoring > General Purpose Protection Modules
3046	Automation Control > Condition Monitoring > Portable Instruments
